SubTime	NumProcs	ExeTime
1000026	512	62
1000277	512	64
1000277	512	1968
1000337	512	63
1000337	512	410
1000339	256	61
1000339	64	285
1000339	128	346
1000339	256	346
1000339	128	517
1000339	256	940
1000340	32	59
1000340	32	59
1000340	64	59
1000340	32	148
1000340	32	148
1000340	32	344
1000340	32	344
1000340	64	344
1000398	32	89
1000398	32	90
1000398	64	104
1000398	128	225
1000398	256	348
1000398	512	1019
1000487	32	76
1000487	32	76
1000487	32	76
1000487	32	77
1000502	64	60
1000562	32	60
1000562	32	61
1000562	32	61
1000621	128	62
1000622	64	61
1000622	32	123
1000622	32	124
1000622	64	124
1000622	32	1349
1000681	256	123
1000682	128	63
1000682	128	63
1000682	64	122
1000682	64	1230
1000683	32	1170
1000744	128	59
1000744	128	59
1000744	256	60
1000744	512	111
1000802	256	53
1000802	128	95
1000802	256	111
1000803	128	1230
1000854	256	43
1000854	512	116
1000896	256	105
1000912	256	1333
1000970	512	92
1001062	512	77
1001199	512	162
1001361	512	1274
1002758	512	228
1002943	256	10403
1002945	64	14
1002963	128	10443
1003038	512	10225
1003071	128	22373
1003280	64	10186
1003369	32	10157
1003371	32	6215
1004703	512	5809
1004825	256	8521
1004826	128	6045
1004892	64	8573
1004893	32	8633
1004893	32	8692
1010060	512	18677
1013706	512	125
1013707	256	62
1013707	256	124
1013766	128	62
1013766	128	63
1013766	128	63
1013766	256	63
1013766	256	64
1013766	512	64
1013767	32	60
1013767	64	60
1013767	64	61
1013767	64	61
1013768	32	57
1013768	32	58
1013768	32	58
1013768	32	58
1013886	32	81
1014028	32	58
1014086	128	23
1014109	256	60
1014169	512	61
1014408	128	20832
1014939	32	289
1015082	32	169
1017864	64	37
1018194	64	40
1019412	256	91
1019447	64	714
1020218	32	439
1020785	32	687
1020865	32	64
1021044	32	439
1021561	64	499
1021764	32	1031
1021903	64	236
1022116	32	433
1023011	64	165
1023552	64	464
1023569	32	404
1024258	32	3988
1025392	32	25
1025490	32	22
1025543	32	4337
1025836	64	22
1025930	64	68
1025941	64	60
1026660	64	319
1027297	64	49
1027524	64	97
1027536	64	41
1027897	64	1563
1028885	64	5945
1028948	64	10905
1029571	64	1894
1031550	128	20816
1033412	512	17913
1033737	256	369
1039917	128	7348
1040730	64	2961
1046538	64	2955
1053212	64	3710
1057068	64	3191
1060481	64	3185
1061572	128	17161
1061620	128	12489
1061774	256	92
1061831	32	1256
1061938	256	103
1062675	256	86
1062873	256	93
1063138	256	6075
1063284	512	77
1063643	512	818
1063966	64	176
1064416	64	372
1064458	64	27
1064540	64	4045
1064855	32	494
1065714	32	3302
1066170	32	135
1066674	32	375
1067078	64	97
1067153	512	23471
1067272	64	12385
1067320	64	437
1067369	32	242
1068180	64	3158
1068628	32	145
1069061	32	146
1069355	64	1063
1069391	64	11943
1069393	64	2372
1069459	32	137
1069559	64	11543
1069717	32	222
1069725	256	46
1069865	32	145
1070066	128	9400
1070423	32	93
1070551	32	386
1070603	256	97
1070892	256	49
1070929	128	20796
1071021	32	147
1071484	32	219
1071506	64	261
1071713	32	139
1071764	64	407
1071873	32	613
1071986	32	782
1072121	256	100
1072199	256	129
1072223	32	78
1072489	32	289
1072492	32	79
1072580	64	959
1072631	32	115
1072939	32	186
1073048	32	12332
1073137	256	3331
1073311	32	138
1073536	32	45
1073560	64	1850
1073766	32	96
1073805	32	142
1074261	32	7221
1074313	256	353
1075172	32	139
1075412	32	121
1075426	64	3819
1075521	32	550
1075850	32	134
1076195	32	136
1076223	32	135
1076642	32	129
1076799	256	6708
1076960	32	124
1077269	128	1209
1077673	32	129
1077943	256	6739
1078086	128	41
1078639	32	17
1078653	32	15
1078895	32	101
1079281	64	5757
1080148	32	249
1080165	64	2070
1080492	128	4012
1080697	32	237
1082195	128	122
1083091	128	230
1083311	128	78
1083850	32	2672
1084532	128	108
1084536	32	104
1084593	64	6499
1084858	32	3911
1085063	32	30
1085121	32	3949
1085327	64	114
1085568	64	2805
1085863	32	104
1087389	128	1029
1088300	32	428
1088393	64	3705
1088428	64	448
1088767	64	376
1088911	64	664
1089139	32	5393
1089313	128	518
1089397	256	22281
1089838	64	311
1090247	256	9697
1090399	32	1024
1090895	32	1760
1090901	512	11493
1091409	128	6484
1091763	512	22650
1092123	64	2563
1092786	32	2845
1093835	128	7379
1094274	256	13564
1094748	128	139
1095502	128	898
1097044	64	2540
1097427	32	598
1097670	32	448
1098517	32	299
1098699	32	330
1098739	32	2020
1099157	32	269
1099604	64	991
1099966	512	4542
1101487	128	3549
1102459	128	10182
1102703	128	11386
1104977	128	8800
1106793	128	672
1106932	512	4457
1108968	128	658
1111393	512	5335
1113630	32	673
1114390	32	2692
1114838	64	7145
1115014	64	7151
1118412	32	1583
1120656	256	7205
1125367	64	1954
1126029	32	469
1126414	64	1801
1127787	32	271
1128335	32	84
1128536	64	382
1128566	32	8
1128577	32	8
1128644	32	148
1143024	256	7186
1147200	512	2217
1150212	256	7162
1150731	512	2022
1153842	512	1225
1154512	128	6705
1155835	32	65
1155942	128	7261
1155954	128	59
1156096	32	1244
1157153	512	1249
1157378	256	13905
1157437	32	162
1157709	32	1023
1159152	32	8349
1159220	32	60
1159867	512	1348
